LandValue,ImprovementValue,HOEX,Latitude,Longitude,Delta,TimetoFinal,ConstructionDelay,Neighbours,TimetoApply,RepairTime
571519,1343918,True,38.50221225,-122.6717197,754.0,1002.0,101.0,10,248.0,653.0
937252,897463,False,38.49811525,-122.6753816,410.0,629.0,39.0,18,219.0,371.0
111905,550104,True,38.50061541,-122.6778021,-1.0,-1.0,48.0,27,245.0,-1.0
693091,1642167,True,38.50145981,-122.7072784,726.0,973.0,95.0,50,247.0,631.0
490000,755451,True,38.50048499,-122.7075248,-1.0,-1.0,202.0,51,457.0,-1.0
215072,137880,True,38.50034708,-122.7104745,-1.0,-1.0,381.0,35,927.0,-1.0
577895,160095,False,38.50305519,-122.7124467,-1.0,-1.0,237.0,33,379.0,-1.0
673200,51000,False,38.5030707,-122.7060468,-1.0,-1.0,-1.0,58,626.0,-1.0
619000,1500000,False,38.50210889,-122.7103217,773.0,993.0,194.0,39,220.0,579.0
170850,388980,False,38.50001863,-122.7085361,582.0,889.0,57.0,48,307.0,525.0
154231,210856,True,38.48816793,-122.6622117,231.0,539.0,111.0,6,308.0,120.0
268572,108855,True,38.48841194,-122.6634622,-1.0,-1.0,-1.0,6,1770.0,-1.0
78081,198288,False,38.48916863,-122.6644345,323.0,548.0,142.0,6,225.0,181.0
600000,1000000,False,38.49870265,-122.6948132,1092.0,1301.0,60.0,35,209.0,1032.0
623915,757996,False,38.51560753,-122.7423146,466.0,960.0,103.0,19,494.0,363.0
369327,627866,True,38.51717645,-122.7445944,434.0,820.0,63.0,16,386.0,371.0
401931,515816,True,38.51242955,-122.7420885,443.0,954.0,108.0,29,511.0,335.0
357000,1530000,False,38.51295671,-122.7427456,541.0,1214.0,58.0,26,673.0,483.0
337490,151869,True,38.51312535,-122.7438982,736.0,1178.0,77.0,26,442.0,659.0
255000,765000,False,38.51337631,-122.742051,788.0,1091.0,630.0,27,303.0,158.0
82909,307957,True,38.51337181,-122.745466,728.0,994.0,97.0,23,266.0,631.0
328093,501590,False,38.5132282,-122.7459431,483.0,591.0,60.0,23,108.0,423.0
245415,107279,False,38.51150395,-122.7474178,1072.0,1603.0,128.0,39,531.0,944.0
207487,367871,False,38.51091487,-122.7472551,645.0,989.0,218.0,44,344.0,427.0
175709,239165,True,38.50968696,-122.7460008,539.0,1095.0,82.0,80,556.0,457.0
32332,140915,True,38.51083712,-122.7463413,555.0,884.0,-1.0,44,329.0,-1.0
300000,446955,True,38.51042031,-122.7460198,473.0,616.0,28.0,55,143.0,445.0
177269,273299,True,38.51063847,-122.7426637,442.0,784.0,36.0,55,342.0,406.0
169882,485583,False,38.51177767,-122.7439469,549.0,769.0,143.0,38,220.0,406.0
398295,543136,True,38.51038199,-122.7412246,608.0,996.0,87.0,66,388.0,521.0
195961,347365,True,38.50649868,-122.7476161,212.0,640.0,44.0,193,428.0,168.0
48121,182857,True,38.50595194,-122.7471581,457.0,856.0,142.0,208,399.0,315.0
246000,131090,False,38.50650049,-122.7485342,801.0,1126.0,235.0,193,325.0,566.0
320000,459158,False,38.50700865,-122.7436334,1231.0,1353.0,131.0,188,122.0,1100.0
306000,867000,False,38.50470363,-122.7449217,693.0,884.0,431.0,234,191.0,262.0
212857,462218,False,38.50388986,-122.745004,350.0,883.0,111.0,249,533.0,239.0
173027,338541,False,38.5037231,-122.7447407,335.0,804.0,103.0,254,469.0,232.0
298864,793536,False,38.50358933,-122.7444649,282.0,694.0,120.0,257,412.0,162.0
188075,288739,True,38.50351015,-122.7437904,-1.0,-1.0,37.0,265,566.0,-1.0
207127,386651,True,38.50374746,-122.7435347,453.0,629.0,28.0,259,176.0,425.0
173361,132625,True,38.50407643,-122.7437107,747.0,1135.0,-1.0,253,388.0,-1.0
160167,280500,False,38.50409315,-122.7440625,1078.0,1480.0,196.0,251,402.0,882.0
187125,385482,False,38.50412702,-122.7443366,311.0,881.0,-1.0,248,570.0,501.0
272957,627821,True,38.50432615,-122.7444083,286.0,595.0,21.0,241,309.0,265.0
165502,398733,True,38.50454556,-122.7443334,719.0,1112.0,82.0,241,393.0,637.0
279971,493541,False,38.5043408,-122.7427641,443.0,610.0,128.0,246,167.0,315.0
306000,721140,False,38.50416035,-122.7421641,476.0,1073.0,111.0,253,597.0,365.0
391374,729932,False,38.50415353,-122.741879,393.0,640.0,137.0,254,247.0,256.0
160086,515084,True,38.50374198,-122.7426905,387.0,932.0,29.0,261,545.0,358.0
224099,397983,False,38.50408783,-122.7451043,358.0,714.0,50.0,247,356.0,308.0
135411,306190,True,38.50430004,-122.7450759,288.0,673.0,-1.0,239,385.0,603.0
241000,63000,False,38.50695171,-122.7416475,890.0,1240.0,198.0,193,350.0,692.0
156766,77600,True,38.5064468,-122.7421459,922.0,1240.0,230.0,206,318.0,692.0
408000,902700,False,38.50561218,-122.7371592,473.0,1000.0,84.0,111,527.0,389.0
258120,199814,True,38.51371168,-122.7337914,435.0,1109.0,253.0,14,674.0,182.0
317665,620554,False,38.50907317,-122.7394106,475.0,693.0,47.0,104,218.0,428.0
241152,155947,False,38.51428152,-122.735974,672.0,1114.0,162.0,22,442.0,510.0
415511,27340,False,38.51104483,-122.7360593,-1.0,-1.0,-1.0,34,814.0,-1.0
298656,761416,True,38.37708958,-122.6043712,964.0,1315.0,219.0,2,351.0,745.0
408134,1179236,False,38.37368318,-122.6306056,719.0,1001.0,50.0,2,282.0,669.0
530000,33000,False,38.36151848,-122.635431,-1.0,-1.0,177.0,3,686.0,-1.0
408416,80289,True,38.36442188,-122.6370353,645.0,1200.0,92.0,3,555.0,553.0
117504,107398,False,38.36066668,-122.6363894,-1.0,-1.0,67.0,3,178.0,-1.0
332160,185667,True,38.37548694,-122.6276027,660.0,1073.0,126.0,2,413.0,534.0
491984,596072,False,38.40414578,-122.576268,-1.0,-1.0,-1.0,9,630.0,-1.0
79975,20174,False,38.40686144,-122.577379,-1.0,-1.0,43.0,4,231.0,-1.0
230545,76845,True,38.39599147,-122.5777102,1240.0,1477.0,102.0,7,237.0,1138.0
1227069,1617501,False,38.39616464,-122.5787392,501.0,647.0,60.0,8,146.0,441.0
874918,1579531,False,38.39617565,-122.5797477,505.0,1164.0,195.0,8,659.0,310.0
42036,447275,True,38.40243221,-122.5773554,603.0,980.0,214.0,9,377.0,389.0
25851,5819,True,38.39813088,-122.5750734,-1.0,-1.0,115.0,10,224.0,-1.0
346660,446061,False,38.39671495,-122.5758858,733.0,966.0,224.0,10,233.0,509.0
74803,411254,True,38.40267945,-122.5694495,501.0,950.0,27.0,9,449.0,474.0
101421,234989,True,38.4043252,-122.5692538,-1.0,-1.0,61.0,7,255.0,-1.0
2470033,477770,False,38.40645045,-122.5660843,617.0,819.0,119.0,8,202.0,498.0
115498,261486,True,38.41487655,-122.559393,423.0,1080.0,46.0,22,657.0,377.0
11494,318301,True,38.41287304,-122.5597314,786.0,1080.0,41.0,19,294.0,745.0
590567,1096172,False,38.41728382,-122.5598122,481.0,776.0,43.0,21,295.0,438.0
515101,998131,True,38.41698162,-122.5589737,548.0,736.0,109.0,20,188.0,439.0
613534,781517,False,38.41677088,-122.5584891,-1.0,-1.0,60.0,20,185.0,-1.0
398295,54529,False,38.4172153,-122.5581129,-1.0,-1.0,144.0,21,255.0,-1.0
28299,179440,True,38.41898846,-122.5569899,371.0,610.0,49.0,24,239.0,322.0
245413,385930,True,38.42013359,-122.557095,608.0,980.0,145.0,25,372.0,463.0
354986,631331,True,38.4203823,-122.5567596,557.0,1007.0,99.0,25,450.0,458.0
