BuildingID,NoStories,FlArea,NoUnits,ConstYear,BuildVal,PermitDesc,PermitType,DateEvent,DateApplied,CheckDate,DateRecvd,DateFinaled,DateExpired,TimetoApply,RepairTime,TimetoFinal,,
399,0,1389,1,1905,67356,PIER AND GIRDER REPAIR/REMOVE CHIMNEY,FOUNDATION,8/24/14,9/16/14,TRUE,37057,2/24/15,NULL,23,161,184,,
404,0,2086,1,1939,313715,REMOVE CHIMNEY BELOW ROOFLINE REPAIR DAMAGED BLOCK WALL/ CAP,FIREPLACE,8/24/14,39947,FALSE,10/14/14,4/20/15,NULL,12,227,239,,
418,0,5227.2,1,NULL,955544,REMOVE, CAP & SEAL DAMAGE CHIMNEY,8/24/14,FIREPLACE,TRUE,39947,12/18/14,38791,,,116,,
420,0,1988,1,1900,1144440,REPLACE FOUNDATION,FOUNDATION,8/24/14,39947,FALSE,37302,4/14/15,NULL,12,221,233,,
421,0,1056,1,1930,162750,RETRO FIT CHIMNEY W/ BOND BEAM,FIREPLACE,8/24/14,39947,FALSE,41166,4/15/15,NULL,12,222,234,,
422,0,1066,1,1903,407726,REPLACE CHIMNEY WITH WOOD CHASE NEW FIREBOX INSTALL GAS,FIREPLACE,8/24/14,39947,FALSE,10/28/14,4/15/15,NULL,12,222,234,,
460,0,3072,4,1977,883164,REMOVE SIDING FOR ENGINEER INSPECTION 810-816),MINOR BUILDING,8/24/14,40039,FALSE,9/30/14,10/23/14,NULL,15,45,60,,
473,0,1466,1,1978,141915,DEMO FIREPLACE STUCCO WALL,FIREPLACE,8/24/14,39947,FALSE,40738,4/15/15,NULL,12,222,234,,
474,0,7405.2,NULL,1978,107807,DEMO FIREPLACE STUCCO WALL,NULL,8/24/14,9/23/14,TRUE,40738,4/15/15,NULL,30,204,234,,
492,0,908,1,1948,848965,SEAL & CAP DAMAGED CHIMNEY,FIREPLACE,8/24/14,39947,FALSE,11/21/14,1/15/15,NULL,12,132,144,,
499,0,293594,NULL,NULL,5816259,REPLACE FENCE/WALL AT BEL AIRE PLAZA,MINOR BUILDING,8/24/14,39947,FALSE,12/17/14,3/18/15,NULL,12,194,206,,
535,0,28156,1,1991,11983453,SOUND WALL,MINOR BUILDING,8/24/14,39947,FALSE,1/13/15,1/30/15,NULL,12,147,159,,
555,0,81794,1,1965,16245237,REPAIR EQ DAMAGE TO TOWER AND INTERIOR,COM REMODEL,8/24/14,39947,FALSE,9/25/14,4/20/15,NULL,12,227,239,,
563,0,3123,1,1920,614105,REBILD CHIMNEY W/ WOOD CHASE AND STUCCO PER CITY HANDOUT,FIREPLACE,8/24/14,9/25/14,TRUE,10/14/14,1/21/15,NULL,32,118,150,,
565,0,2160,1,1962,637512,REPAIR FOUNDATION WALL DAMAGE/GARAGE DOORS/NEW SLAB,MINOR BUILDING,8/24/14,9/17/14,TRUE,40616,8/16/16,NULL,24,699,723,,
598,2,1440,1,1910,259981,REPAIR AND SHEATH CRIPPLE WALL AT FOUNDATION.,MINOR BUILDING,8/24/14,39947,FALSE,9/16/14,11/21/14,NULL,12,77,89,,
603,2,4104,1,1972,951966,CAP AND SEAL CHIMNEY PER CITY SPECS 2405-2409),FIREPLACE,8/24/14,39947,FALSE,40738,11/18/14,NULL,12,74,86,,
612,2,9004,1,1979,1370238,WALL REPAIRS,MINOR BUILDING,8/24/14,39947,FALSE,38457,3/29/16,NULL,12,571,583,,
628,0,4035,1,1988,807413,DEMO TOP STORY CHIMNEY INSTALL DIRECT VENT 1ST FLOOR,FIREPLACE,8/24/14,39947,FALSE,40223,1/21/15,NULL,12,138,150,,
634,2,3049.2,NULL,1910,185401,REPAIR AND SHEATH CRIPPLE WALL AT FOUNDATION.,NULL,8/24/14,9/17/14,TRUE,9/16/14,11/21/14,NULL,24,65,89,,
646,0,2282,1,1937,432268,REPAIR DAMAGED CHIMNEY,FIREPLACE,8/24/14,39947,FALSE,39917,9/16/14,NULL,12,11,23,,
686,0,4556,1,1926,1130115,500 THROUGH 512 EXTERIOR PLASTER REPAIR TO MATCH EXISTING, R,8/24/14,MINOR BUILDING,TRUE,40039,9/29/14,10/16/14,,,36,,
687,0,7840.8,NULL,NULL,436366,500 THROUGH 512 EXTERIOR PLASTER REPAIR TO MATCH EXISTING R,NULL,8/24/14,9/17/14,TRUE,9/29/14,10/16/14,NULL,24,29,53,,
