LandValue,ImprovementValue,HOEX,Latitude,Longitude,Delta,TimetoFinal,ConstructionDelay,Neighbours,TimetoApply,RepairTime,Units,IncomeRatio,YearBuilt,BuildingCode,Occupancy,Stories,Basement,Area,ConstructionClass,ReplacementCost
354986,461487,True,38.52231526,-122.7205575,812.0,1169.0,370.0,58,357.0,442.0,1,1.1582019848219498,1940,Post1940,RES1,1,False,1700,Average,198322.0
402144,600800,False,38.52537336,-122.7244204,405.0,1227.0,97.0,33,822.0,308.0,1,1.1582019848219498,1960,Post1940,RES1,2,True,1275,Average,163215.9375
154081,278855,True,38.52479168,-122.724633,-1.0,-1.0,117.0,35,367.0,-1.0,1,1.1582019848219498,1960,Post1940,RES1,1,False,1700,Average,198322.0
140565,335915,True,38.52302607,-122.726626,463.0,696.0,107.0,35,233.0,356.0,1,1.1582019848219498,1960,Post1940,RES1,1,True,1275,Average,159196.5
179223,289343,True,38.5196549,-122.7242037,393.0,646.0,71.0,41,253.0,322.0,1,1.1582019848219498,1940,Post1940,RES1,2,False,1700,Average,208675.0
488191,1502000,False,38.52039665,-122.7233978,-1.0,-1.0,168.0,54,973.0,-1.0,1,1.1582019848219498,1940,Post1940,RES1,2,False,1700,Average,208675.0
346264,874140,False,38.51944723,-122.7255219,442.0,1025.0,57.0,39,583.0,385.0,1,1.1582019848219498,1960,Post1940,RES1,1,False,1700,Average,198322.0
348118,566926,False,38.51928564,-122.7213865,428.0,981.0,72.0,60,553.0,356.0,1,1.1582019848219498,1960,Post1940,RES1,2,False,1700,Average,208675.0
215830,802077,False,38.52084198,-122.7197482,-1.0,-1.0,93.0,68,470.0,-1.0,1,1.1582019848219498,1940,Post1940,RES1,1,False,1700,Custom,271167.0
184385,387797,True,38.5244449,-122.7191216,732.0,1008.0,63.0,51,276.0,669.0,1,1.1582019848219498,1950,Post1940,RES1,1,False,1700,Custom,271167.0
262793,358020,False,38.52523061,-122.7188732,323.0,995.0,90.0,47,672.0,233.0,1,1.1582019848219498,1960,Post1940,RES1,1,False,1700,Average,198322.0
180980,241347,True,38.52330495,-122.7238654,-1.0,-1.0,44.0,39,350.0,-1.0,1,1.1582019848219498,1950,Post1940,RES1,1,False,1700,Average,198322.0
326231,960000,False,38.52177169,-122.7179934,775.0,1378.0,153.0,66,603.0,622.0,1,1.1582019848219498,1940,Post1940,RES1,1,False,1700,Average,198322.0
221591,554001,True,38.52097788,-122.7175847,526.0,868.0,116.0,73,342.0,410.0,1,1.1582019848219498,1940,Post1940,RES1,2,False,1700,Custom,278715.0
