LandValue,ImprovementValue,HOEX,Latitude,Longitude,TimetoApply,RepairTime,TimetoFinal,ConstructionDelay,RepairTime.1,Neighbours
53236.0,246302.0,True,39.759748,-121.611638,218,377.0,595.0,-1.0,-1.0,42
84504.0,110493.0,False,39.774967,-121.605801,218,283.0,501.0,-1.0,-1.0,124
107219.0,250770.0,True,39.768988,-121.590432,218,483.0,701.0,-1.0,-1.0,138
98426.0,373734.0,True,39.742473,-121.595803,218,283.0,501.0,-1.0,-1.0,97
107219.0,151369.0,False,39.754271,-121.597366,221,277.0,498.0,-1.0,-1.0,128
75221.0,251534.0,True,39.739805,-121.571872,221,540.0,761.0,-1.0,-1.0,85
50653.0,174308.0,True,39.763318,-121.612047,221,689.0,910.0,-1.0,-1.0,79
96498.0,150108.0,False,39.743734,-121.637856,222,827.0,1049.0,-1.0,-1.0,112
48711.0,73779.0,True,39.769171,-121.628366,223,531.0,754.0,-1.0,-1.0,137
13847.0,149768.0,True,39.75983,-121.585022,223,296.0,519.0,-1.0,-1.0,120
19764.0,119177.0,True,39.780799,-121.589851,223,344.0,567.0,-1.0,-1.0,90
44141.0,117744.0,True,39.789267,-121.587561,223,68.0,291.0,-1.0,-1.0,72
51647.0,26177.0,True,39.793018,-121.581346,223,253.0,476.0,-1.0,-1.0,88
191061.0,304042.0,True,39.736432,-121.628443,224,372.0,596.0,-1.0,-1.0,89
60500.0,179014.0,True,39.739585,-121.647961,225,174.0,399.0,-1.0,-1.0,80
129210.0,412629.0,True,39.773114,-121.617621,228,316.0,544.0,-1.0,-1.0,115
92958.0,187686.0,True,39.744419,-121.644566,228,302.0,530.0,-1.0,-1.0,69
23293.0,657148.0,True,39.784402,-121.57436,228,361.0,589.0,-1.0,-1.0,77
68824.0,337615.0,True,39.767281,-121.629931,228,518.0,746.0,-1.0,-1.0,144
82851.0,242638.0,True,39.745739,-121.594304,229,-1.0,-1.0,-1.0,-1.0,128
144747.0,329133.0,False,39.748726,-121.63715,230,-1.0,-1.0,-1.0,-1.0,82
190010.0,262900.0,True,39.748728,-121.636752,230,-1.0,-1.0,-1.0,-1.0,81
44827.0,123106.0,True,39.773145,-121.584607,230,237.0,467.0,-1.0,-1.0,127
103056.0,341117.0,True,39.750866,-121.583626,231,221.0,452.0,-1.0,-1.0,100
41422.0,192926.0,True,39.749734,-121.595836,231,425.0,656.0,-1.0,-1.0,139
144747.0,437250.0,True,39.745265,-121.635511,232,383.0,615.0,-1.0,-1.0,97
57921.0,186376.0,True,39.773088,-121.614628,232,305.0,537.0,-1.0,-1.0,111
85687.0,230006.0,True,39.738756,-121.573948,232,-1.0,-1.0,-1.0,-1.0,90
94818.0,132186.0,True,39.734252,-121.630334,235,259.0,494.0,-1.0,-1.0,64
124575.0,281975.0,True,39.731967,-121.644582,235,372.0,607.0,-1.0,-1.0,65
183885.0,168500.0,False,39.735025,-121.578909,235,-1.0,-1.0,-1.0,-1.0,55
107174.0,161585.0,True,39.768864,-121.621458,235,491.0,726.0,-1.0,-1.0,124
126141.0,538611.0,True,39.736928,-121.637233,236,682.0,918.0,-1.0,-1.0,113
54778.0,104685.0,True,39.744086,-121.622442,236,372.0,608.0,-1.0,-1.0,70
128766.0,173861.0,True,39.792176,-121.580057,236,338.0,574.0,-1.0,-1.0,97
113873.0,600736.0,False,39.758612,-121.583458,237,352.0,589.0,-1.0,-1.0,113
83946.0,262923.0,True,39.738168,-121.582276,237,190.0,427.0,-1.0,-1.0,57
15226.0,91275.0,True,39.765234,-121.634384,239,335.0,574.0,-1.0,-1.0,118
83946.0,262923.0,True,39.738168,-121.582276,239,371.0,610.0,-1.0,-1.0,57
93775.0,198698.0,True,39.769364,-121.593125,242,302.0,544.0,-1.0,-1.0,131
46026.0,109510.0,True,39.757621,-121.627163,242,641.0,883.0,-1.0,-1.0,70
120723.0,135818.0,True,39.775278,-121.576561,244,413.0,657.0,-1.0,-1.0,83
